"","Site","Lat","Long"
"1","USGS-04087119",43.0438333,-88.0051111
"2","USGS-04087120",43.0455556,-87.9997222
"3","USGS-04087030",43.1727778,-88.1038889
"4","USGS-07054285",36.6566667,-92.6819444
"5","USGS-04087050",43.2066741,-88.0384231
"6","USGS-04087088",43.0547222,-88.0461111
"7","USGS-04087142",43.0339026,-87.934252
"8","USGS-06907300",38.8922421,-93.0335307
"9","21KY_WQX-DOW03011021",37.16317,-87.16434
"10","21KY_WQX-DOW20020003",36.66731,-86.89548
"11","21KY_WQX-DOW20020015",36.7209,-86.8499
"12","21KY_WQX-DOW05017014",38.23304,-84.34145
"13","21KY_WQX-DOW03011007",37.15656,-87.09751
"14","21KY_WQX-DOW08023004",37.802,-87.6248
"15","21KY_WQX-SWD02120505",36.68222,-86.73
"16","21KY_WQX-DOW08023006",37.7922,-87.5648
"17","21KY_WQX-DOW20020023",36.64071,-86.9798
"18","21KY_WQX-DOW08023013",37.7947,-87.5959
"19","21KY_WQX-DOW08023019",37.71528,-87.5649
"20","21KY_WQX-DOW05017018",38.27159,-84.2433
"21","21KY_WQX-DOW03011011",37.22409,-87.10883
"22","21KY_WQX-DOW03011009",37.23228,-87.05338
"23","21KY_WQX-DOW03011027",37.20022,-87.10563
"24","21KY_WQX-DOW05017012",38.24136,-84.313
"25","21KY_WQX-DOW03011028",37.24039,-87.06784
"26","21KY_WQX-DOW03011026",37.22927,-87.05717
"27","21KY_WQX-SWD02120504",36.68861,-86.82611
"28","21KY_WQX-DOW05017015",38.22975,-84.34472
"29","21KY_WQX-DOW08023010",37.7358,-87.5684
"30","21KY_WQX-DOW08023016",37.78783,-87.5918
"31","21KY_WQX-DOW04023009",37.70792,-84.21278
"32","21KY_WQX-DOW04023012",37.70825,-84.17573
"33","21KY_WQX-DOW03011015",37.17416,-87.0601
"34","21KY_WQX-DOW03011002",37.24757,-87.09163
"35","21KY_WQX-DOW05016037",38.17759,-84.03114
"36","21KY_WQX-DOW04023013",37.70648,-84.16372
"37","21KY_WQX-DOW20020018",36.6959,-86.729
